tournament,date,venue,club,group,round,cycle,court,point_cap,pair_a,pair_a_p1,pair_a_p2,pair_b,pair_b_p1,pair_b_p2,score_a,score_b
T01,2026-05-02,Tallink,Aliris,A,1,1,C1,18,T01-01,P037,P036,T01-02,P038,P015,14,18
T01,2026-05-02,Tallink,Aliris,B,1,1,C10,18,T01-17,P006,P033,T01-16,P022,P017,18,9
T01,2026-05-02,Tallink,Aliris,A,1,1,C2,18,T01-03,P014,P029,T01-04,P030,P039,18,7
T01,2026-05-02,Tallink,Aliris,A,1,1,C3,18,T01-05,P028,P021,T01-06,P011,P010,17,18
T01,2026-05-02,Tallink,Aliris,A,1,1,C4,18,T01-07,P031,P018,T01-08,P001,P024,18,7
T01,2026-05-02,Tallink,Aliris,A,1,1,C5,18,T01-09,P009,P023,T01-10,P002,P012,18,10
T01,2026-05-02,Tallink,Aliris,A,1,1,C6,18,T01-11,P035,P004,T01-12,P025,P016,18,10
T01,2026-05-02,Tallink,Aliris,B,1,1,C7,18,T01-13,P008,P034,T01-20,P026,P027,18,14
T01,2026-05-02,Tallink,Aliris,B,1,1,C8,18,T01-14,P005,P040,T01-19,P013,P019,18,13
T01,2026-05-02,Tallink,Aliris,B,1,1,C9,18,T01-15,P003,P032,T01-18,P007,P020,18,17
T01,2026-05-02,Tallink,Aliris,A,2,1,C1,18,T01-01,P037,P036,T01-04,P030,P039,11,18
T01,2026-05-02,Tallink,Aliris,B,2,1,C10,18,T01-18,P007,P020,T01-20,P026,P027,18,8
T01,2026-05-02,Tallink,Aliris,A,2,1,C2,18,T01-03,P014,P029,T01-06,P011,P010,9,18
T01,2026-05-02,Tallink,Aliris,A,2,1,C3,18,T01-05,P028,P021,T01-08,P001,P024,10,18
T01,2026-05-02,Tallink,Aliris,A,2,1,C4,18,T01-07,P031,P018,T01-10,P002,P012,18,14
T01,2026-05-02,Tallink,Aliris,A,2,1,C5,18,T01-09,P009,P023,T01-12,P025,P016,18,13
T01,2026-05-02,Tallink,Aliris,A,2,1,C6,18,T01-11,P035,P004,T01-02,P038,P015,13,18
T01,2026-05-02,Tallink,Aliris,B,2,1,C7,18,T01-13,P008,P034,T01-19,P013,P019,12,18
T01,2026-05-02,Tallink,Aliris,B,2,1,C8,18,T01-15,P003,P032,T01-16,P022,P017,18,14
T01,2026-05-02,Tallink,Aliris,B,2,1,C9,18,T01-17,P006,P033,T01-14,P005,P040,13,18
T01,2026-05-02,Tallink,Aliris,A,3,1,C1,18,T01-01,P037,P036,T01-06,P011,P010,17,18
T01,2026-05-02,Tallink,Aliris,B,3,1,C10,18,T01-19,P013,P019,T01-17,P006,P033,18,13
T01,2026-05-02,Tallink,Aliris,A,3,1,C2,18,T01-03,P014,P029,T01-08,P001,P024,4,18
T01,2026-05-02,Tallink,Aliris,A,3,1,C3,18,T01-05,P028,P021,T01-10,P002,P012,18,13
T01,2026-05-02,Tallink,Aliris,A,3,1,C4,18,T01-07,P031,P018,T01-12,P025,P016,18,6
T01,2026-05-02,Tallink,Aliris,A,3,1,C5,18,T01-09,P009,P023,T01-02,P038,P015,7,18
T01,2026-05-02,Tallink,Aliris,A,3,1,C6,18,T01-11,P035,P004,T01-04,P030,P039,8,18
T01,2026-05-02,Tallink,Aliris,B,3,1,C7,18,T01-13,P008,P034,T01-18,P007,P020,14,18
T01,2026-05-02,Tallink,Aliris,B,3,1,C8,18,T01-16,P022,P017,T01-20,P026,P027,13,18
